#{"t_start": 1693592155.0142877, "env_id": null}
r,l,t
1107.0,500,15331.847657
1319.0,500,15992.686783
1605.0,500,15992.860849
1347.0,500,15995.22692
1819.0,500,15996.936935
1515.0,500,16002.504535
1399.0,500,16002.662094
1334.0,500,16004.825668
1470.0,500,16006.44173
1523.0,500,16012.492707
1329.0,500,16012.648946
1346.0,500,16015.020478
1347.0,500,16016.804224
1481.0,500,16022.41618
1636.0,500,16022.55888
1310.0,500,16024.863343
1383.0,500,16026.6356
941.0,454,16676.802612
1863.0,500,16677.541166
1419.0,500,16679.986904
2246.0,500,16681.710448
1624.0,500,16686.605072
1353.0,500,16687.357546
1596.0,500,16689.850032
1542.0,500,16691.622299
1289.0,500,16697.202324
594.0,355,16697.561708
1394.0,500,16697.955622
1328.0,500,16702.298289
1373.0,500,16707.598089
1347.0,500,16707.974729
1478.0,500,16708.399691
1324.0,500,16712.773293
1080.0,500,17357.047002
1298.0,500,17357.391221
1172.0,500,17357.782289
1373.0,500,17361.829059
971.0,427,17365.857078
1349.0,500,17366.54905
1599.0,500,17366.892831
1881.0,500,17371.440034
1530.0,500,17375.690009
1726.0,500,17376.377858
1823.0,500,17376.740145
1446.0,500,17381.374942
1677.0,500,17385.60227
1305.0,500,17386.305234
1327.0,500,17386.681172
838.0,500,17391.22784
947.0,427,17394.616784
1206.0,500,18032.065236
1209.0,500,18032.411631
1406.0,500,18036.981252
1676.0,500,18039.687268
1621.0,500,18041.761413
1386.0,500,18042.101987
1037.0,500,18046.66509
1460.0,500,18050.052611
1347.0,500,18052.151306
1476.0,500,18052.497394
790.0,500,18057.13198
1723.0,500,18059.883732
1900.0,500,18062.015083
1339.0,500,18062.406763
1372.0,500,18067.125813
1422.0,500,18070.59287
1813.0,500,18072.896576
1190.0,500,18707.429925
1582.0,500,18711.932358
983.0,434,18713.345865
1866.0,500,18716.666912
1322.0,500,18716.99758
1003.0,500,18721.465916
1287.0,500,18722.955185
1854.0,500,18726.310737
1554.0,500,18726.656757
2121.0,500,18731.202757
1474.0,500,18732.645424
1673.0,500,18736.036609
1786.0,500,18736.361474
2151.0,500,18740.940073
1827.0,500,18742.873162
1314.0,500,18746.131072
1696.0,500,18746.478528
1345.0,500,19395.326856
1459.0,500,19396.784128
1530.0,500,19400.204052
1864.0,500,19400.565189
1583.0,500,19405.252206
1109.0,486,19407.016299
1475.0,500,19410.704559
1917.0,500,19411.068457
1328.0,500,19415.742036
1934.0,500,19416.936051
1330.0,500,19420.682428
1323.0,500,19421.042147
1523.0,500,19425.729839
1392.0,500,19427.645025
1911.0,500,19431.546824
1325.0,500,19431.892608
1424.0,500,20069.815902
1576.0,500,20071.067575
1549.0,500,20074.846931
1687.0,500,20075.176702
1526.0,500,20079.724611
1326.0,500,20081.588675
1237.0,500,20085.211928
1071.0,498,20085.511294
1562.0,500,20090.121711
1395.0,500,20091.296339
1781.0,500,20094.98191
1568.0,500,20095.293474
1347.0,500,20099.919197
1500.0,500,20101.69501
1811.0,500,20105.424414
1850.0,500,20105.721286
1903.0,500,20742.311811
1613.0,500,20743.440048
1416.0,500,20747.04701
1456.0,500,20747.361012
1595.0,500,20751.891785
1572.0,500,20753.804739
1569.0,500,20757.691979
1503.0,500,20758.007909
1385.0,500,20762.553462
1375.0,500,20763.746211
1863.0,500,20767.558993
1537.0,500,20767.855484
1576.0,500,20772.542543
1664.0,500,20774.271191
1335.0,500,20777.812476
1784.0,500,20778.129802
1592.0,500,21423.158052
1237.0,500,21424.311085
2014.0,500,21428.08803
1635.0,500,21428.416999
1441.0,500,21433.115501
1777.0,500,21434.988451
1458.0,500,21438.829482
1946.0,500,21439.143604
1583.0,500,21443.704396
1536.0,500,21444.897786
1331.0,500,21448.660514
1228.0,500,21448.95752
1587.0,500,21453.618198
1367.0,500,21455.403468
1317.0,500,21459.290838
1799.0,500,21459.62026
1341.0,500,22099.64472
1619.0,500,22100.869645
1576.0,500,22104.645438
1360.0,500,22104.960442
1639.0,500,22109.537801
1560.0,500,22111.29388
1346.0,500,22114.884311
2004.0,500,22115.199415
2092.0,500,22119.886963
1685.0,500,22121.07709
1919.0,500,22124.826269
1783.0,500,22125.156149
1923.0,500,22129.890053
1402.0,500,22131.648167
1256.0,500,22135.332867
1344.0,500,22135.645342
1739.0,500,22140.255711
1308.0,500,22768.016668
2211.0,500,22771.549504
1677.0,500,22771.859392
1547.0,500,22776.375126
1074.0,500,22778.144808
1582.0,500,22781.912662
1867.0,500,22782.206771
1542.0,500,22786.612625
1340.0,496,22787.680691
1584.0,500,22791.287722
1468.0,500,22791.589961
1341.0,500,22796.131547
1623.0,500,22797.291692
581.0,366,22798.76542
1416.0,500,22801.101303
1344.0,500,22806.19809
1335.0,500,22807.358961
1448.0,500,23450.861671
1434.0,500,23453.072994
1425.0,500,23457.997853
2101.0,500,23459.190655
1685.0,500,23460.646415
1330.0,500,23462.998832
1322.0,500,23468.183584
1350.0,500,23469.332971
1506.0,500,23470.853799
2130.0,500,23473.158375
1791.0,500,23478.192063
1516.0,500,23479.388189
1826.0,500,23480.856823
1647.0,500,23483.257477
1586.0,500,23488.086015
2073.0,500,23489.169483
1474.0,500,23490.613431
1788.0,500,24131.402422
1473.0,500,24136.609104
1387.0,500,24137.783645
2099.0,500,24139.209404
1982.0,500,24141.547446
1271.0,500,24146.518002
1377.0,500,24147.648588
1350.0,500,24149.108237
1502.0,500,24151.457129
1417.0,500,24156.536799
1422.0,500,24158.27639
1035.0,500,24159.783063
1861.0,500,24162.151425
1252.0,500,24167.153984
1483.0,500,24168.283697
1645.0,500,24169.834144
1318.0,500,24813.133532
1583.0,500,24818.261364
1849.0,500,24819.484863
1165.0,500,24820.894737
1331.0,500,24823.201016
1701.0,500,24828.191431
1674.0,500,24829.282956
1419.0,500,24830.722682
1594.0,500,24832.953351
1344.0,500,24837.768674
1631.0,500,24838.850759
1693.0,500,24840.228128
1713.0,500,24842.409436
1523.0,500,24847.585975
1565.0,500,24848.696432
1970.0,500,24850.200693
1578.0,500,25487.466324
1535.0,500,25492.278043
1749.0,500,25493.468891
1491.0,500,25494.915206
1348.0,500,25497.234733
2153.0,500,25502.221401
2015.0,500,25503.334109
1348.0,500,25504.765668
1314.0,500,25507.127697
1706.0,500,25512.06598
